"observation","shopID","boss","carsFixed"
1,1,0,8
2,2,0,22
3,3,0,32
4,4,1,64
5,5,0,53
6,1,1,21
7,2,0,20
8,3,0,42
9,4,0,31
10,5,0,55
11,1,0,11
12,2,0,23
13,3,1,32
14,4,0,36
15,5,0,38
16,1,0,9
17,2,0,21
18,3,1,35
19,4,0,36
20,5,0,38
21,1,0,11
22,2,0,20
23,3,0,30
24,4,0,43
25,5,1,50
26,1,0,11
27,2,1,34
28,3,0,44
29,4,0,30
30,5,0,58
31,1,0,11
32,2,0,19
33,3,0,36
34,4,0,41
35,5,1,62
36,1,0,9
37,2,0,17
38,3,1,25
39,4,0,35
40,5,0,46
41,1,0,14
42,2,0,30
43,3,0,37
44,4,0,40
45,5,1,55
46,1,1,21
47,2,0,24
48,3,0,30
49,4,0,30
50,5,0,51
51,1,0,14
52,2,0,31
53,3,0,31
54,4,1,39
55,5,0,45
56,1,1,17
57,2,0,16
58,3,0,30
59,4,0,33
60,5,0,32
61,1,0,7
62,2,0,16
63,3,1,30
64,4,0,35
65,5,0,39
66,1,0,9
67,2,0,26
68,3,1,44
69,4,0,47
70,5,0,43
71,1,0,15
72,2,0,27
73,3,0,37
74,4,0,38
75,5,1,57
76,1,0,9
77,2,1,33
78,3,0,36
79,4,0,35
80,5,0,39
81,1,0,10
82,2,0,23
83,3,0,39
84,4,0,37
85,5,1,58
86,1,0,5
87,2,0,18
88,3,1,40
89,4,0,27
90,5,0,51
91,1,0,9
92,2,0,18
93,3,0,29
94,4,0,39
95,5,1,49
96,1,1,17
97,2,0,20
98,3,0,35
99,4,0,45
100,5,0,41
101,1,0,13
102,2,0,17
103,3,0,27
104,4,1,49
105,5,0,50
106,1,1,19
107,2,0,19
108,3,0,30
109,4,0,31
110,5,0,38
111,1,0,11
112,2,0,23
113,3,1,32
114,4,0,40
115,5,0,50
116,1,0,16
117,2,0,25
118,3,1,33
119,4,0,39
120,5,0,47
121,1,0,14
122,2,0,27
123,3,0,34
124,4,0,41
125,5,1,60
126,1,0,9
127,2,1,35
128,3,0,26
129,4,0,43
130,5,0,50
131,1,0,10
132,2,0,11
133,3,0,29
134,4,0,44
135,5,1,55
136,1,0,12
137,2,0,21
138,3,1,40
139,4,0,33
140,5,0,41
141,1,0,9
142,2,0,17
143,3,0,30
144,4,0,39
145,5,1,45
146,1,1,23
147,2,0,29
148,3,0,30
149,4,0,28
150,5,0,48
151,1,0,15
152,2,0,17
153,3,0,30
154,4,1,42
155,5,0,39
156,1,1,14
157,2,0,27
158,3,0,25
159,4,0,35
160,5,0,43
161,1,0,12
162,2,0,22
163,3,1,37
164,4,0,46
165,5,0,53
166,1,0,12
167,2,0,22
168,3,1,39
169,4,0,51
170,5,0,60
171,1,0,10
172,2,0,35
173,3,0,24
174,4,0,35
175,5,1,48
176,1,0,9
177,2,1,29
178,3,0,23
179,4,0,41
180,5,0,59
181,1,0,12
182,2,0,22
183,3,0,37
184,4,0,43
185,5,1,45
186,1,0,5
187,2,0,25
188,3,1,34
189,4,0,35
190,5,0,35
191,1,0,10
192,2,0,25
193,3,0,27
194,4,0,37
195,5,1,54
196,1,1,13
197,2,0,23
198,3,0,32
199,4,0,34
200,5,0,39
201,1,0,17
202,2,0,15
203,3,0,37
204,4,1,55
205,5,0,41
206,1,1,17
207,2,0,23
208,3,0,31
209,4,0,31
210,5,0,47
211,1,0,16
212,2,0,21
213,3,1,35
214,4,0,43
215,5,0,43
216,1,0,12
217,2,0,23
218,3,1,33
219,4,0,32
220,5,0,41
221,1,0,7
222,2,0,21
223,3,0,30
224,4,0,38
225,5,1,56
226,1,0,8
227,2,1,30
228,3,0,49
229,4,0,38
230,5,0,37
231,1,0,14
232,2,0,30
233,3,0,35
234,4,0,37
235,5,1,59
236,1,0,13
237,2,0,27
238,3,1,42
239,4,0,39
240,5,0,55
241,1,0,14
242,2,0,16
243,3,0,31
244,4,0,29
245,5,1,53
246,1,1,18
247,2,0,22
248,3,0,31
249,4,0,26
250,5,0,48
